"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.221545977E0	3.398024440E-1	-9.978815079E0	-1.306872368E0	1.006976323E1
2.229522149E0	1.412683964E0	-1.169089985E1	-1.092924714E0	1.182655063E1
2.237498712E0	2.517063379E0	-1.372853374E1	-6.695346832E-1	1.397342204E1
2.245478946E0	3.294379950E0	-1.551789665E1	-3.206429482E-1	1.586697412E1
2.253459649E0	3.674051762E0	-1.677195358E1	-2.438162565E-1	1.717138695E1
2.261440040E0	3.870894432E0	-1.761770630E1	-5.128223896E-1	1.804523166E1
2.269416290E0	3.879888535E0	-1.811513519E1	-9.759409428E-1	1.855166081E1
2.277393477E0	3.548754215E0	-1.849899292E1	-1.692475557E0	1.891218837E1
2.285371954E0	2.867450714E0	-1.860991287E1	-2.437451839E0	1.898663483E1
2.293350626E0	2.109308243E0	-1.856684113E1	-3.074573517E0	1.893752288E1
2.301328751E0	1.508174419E0	-1.859461975E1	-3.604572296E0	1.900072144E1
2.309307970E0	1.008041739E0	-1.856797028E1	-4.130654335E0	1.904856881E1
2.317287657E0	6.001299620E-1	-1.822276688E1	-4.450376987E0	1.876793126E1
2.325271134E0	1.631592512E-1	-1.746499634E1	-4.601898670E0	1.806184347E1
2.333251212E0	-5.499148369E-2	-1.662864685E1	-4.387930870E0	1.719793178E1
2.341229884E0	-1.752769947E-2	-1.598589706E1	-4.017787933E0	1.648307714E1
2.349209884E0	3.633022308E-2	-1.530002594E1	-3.541918993E0	1.570469050E1
2.357191915E0	1.145025492E-1	-1.445131302E1	-3.168320656E0	1.479499289E1
2.365175157E0	1.938142776E-1	-1.342290592E1	-2.823397875E0	1.371800069E1
2.373156642E0	1.840411425E-1	-1.237026310E1	-2.483759165E0	1.261849198E1
2.381136563E0	1.729762554E-1	-1.116587162E1	-2.013986588E0	1.134736762E1
2.389115470E0	3.546691537E-1	-9.947537422E0	-1.497010350E0	1.006580007E1
2.397097970E0	6.808615923E-1	-8.821585655E0	-8.175953627E-1	8.885516764E0
2.405082774E0	1.006494403E0	-7.712163448E0	-1.172072887E-1	7.778446733E0
2.413064610E0	1.409769416E0	-6.291853428E0	8.948164582E-1	6.509651746E0
2.421046876E0	1.696335912E0	-4.424458027E0	2.153823614E0	5.205030309E0
2.429028282E0	1.723340750E0	-2.234923840E0	3.461489439E0	4.466172527E0
2.437008282E0	1.418275952E0	-4.292201996E-2	4.716521263E0	4.925334689E0
2.444987345E0	6.826641560E-1	2.261612892E0	5.811380386E0	6.273202150E0
2.452966329E0	-1.585376263E-2	4.303890228E0	6.666562080E0	7.935160516E0
2.460946720E0	-6.385722160E-1	6.336101532E0	7.541192532E0	9.870336463E0
2.468927306E0	-1.038136959E0	8.089841843E0	8.112211227E0	1.150353165E1
2.476906212E0	-1.144263625E0	9.783196449E0	8.478889465E0	1.299660873E1
2.484880587E0	-1.159605265E0	1.162852859E1	8.777989388E0	1.461576065E1
2.492856251E0	-1.084446549E0	1.334358692E1	8.941881180E0	1.609921039E1
